storeNo,storeNoName,longitude,latitude,countryRegion
361,361 EP BLOMSTERDALEN - utgått,"","",""
362,362 EP EVJE,7.78815,58.58013,Sørlandet
363,363 EP HOV,10.35335,60.69716,Østlandet
364,364 EP INDRE ARNA,5.46294,60.43358,Vestlandet
385,385 EP KONNERUD,10.1489,59.71786,Østlandet
428,428 EP RØROS,11.37851,62.57427,Trøndelag
486,486 EP SANDANE,6.2132,61.776,Vestlandet
368,368 EP SUNNDALSØRA,8.56382,62.67364,Vestlandet
351,351 EP SAUDA,6.35414,59.65072,Vestlandet
485,485 EP STRYN,6.71028,61.90259,Vestlandet
575,575 EP GANDDAL,5.7123,58.82024,Vestlandet
277,277 EP HITRA,8.96961,63.60638,Trøndelag
376,376 EP FLÅ,9.46198,60.43021,Østlandet
377,377 EP OPPEGÅRD - utgått,"","",""
004,004 IKKE BRUK,"","",""
335,335 EP MOLDE,7.18001,62.73893,Vestlandet
379,379 EP NORDKJOSBOTN - utgått,"","",""
380,380 EP FETSUND - utgått,"","",""
381,381 EP RJUKAN - utgått,"","",""
382,382 EP JEVNAKER - utgått,"","",""
389,389 EP SON - utgått,10.6893,59.52611,Østlandet
369,369 EP JUVIK,5.19261,60.42702,Vestlandet
378,378 EP SKOTTERUD,12.12206,59.98619,Østlandet
490,490 EP VINSTRA,9.72765,61.59332,Østlandet
061,061 EP BRØNNØYSUND,12.2413,65.49199,Nord-Norge
398,398 EP SKI,10.83515,59.71336,Østlandet
399,399 EP KRÅKERØY,10.92863,59.21209,Østlandet
359,359 EP JESSHEIM,11.18056,60.14256,Østlandet
23550,23550 EP Island,"","",""
391,391 EP SPYDEBERG,11.07851,59.61917,Østlandet
408,408 EP LØTEN,11.34207,60.81983,Østlandet
370,370 EP SANDSLI,5.28194,60.30552,Vestlandet
420,420 EP FORUS,5.70186,58.89606,Vestlandet
062,062 EP HAMMERFEST,23.66983,70.67857,Nord-Norge
421,421 EP LØRENSKOG,10.95752,59.92723,Østlandet
422,422 EP VINTERBRO,10.76585,59.73886,Østlandet
409,409 EP SKREPPESTAD,10.07235,59.04593,Østlandet
411,411 EP SAND,11.54103,60.39259,Østlandet
424,424 EP LONEVÅG,5.49368,60.52619,Vestlandet
423,423 EP KIRKENÆR,12.05717,60.45675,Østlandet
009,009 EP MANDAL KUPPHUSET,7.46635,58.02436,Sørlandet
403,403 EP SKIPTVET,11.16342,59.47257,Østlandet
458,458 EP FURUSET,10.89774,59.94216,Østlandet
447,447 EP NEDENES,8.70238,58.41842,Sørlandet
063,063 EP MADLA,5.65727,58.95202,Vestlandet
457,457 EP MORTENSRUD,10.83064,59.84883,Østlandet
460,460 EP KIRKEBY,10.69194,60.78383,Østlandet
459,459 EP TROMSDALEN,18.97086,69.63996,Nord-Norge
433,433 EP STOKMARKNES,14.94031,68.55797,Nord-Norge
461,461 EP OTTESTAD,11.13187,60.77028,Østlandet
462,462 EP STRØMSØ,10.20669,59.73447,Østlandet
464,464 EP GISKE,6.12326,62.53268,Vestlandet
407,407 EP ENEBAKK,11.0503,59.72398,Østlandet
410,410 EP PINDSLE,10.18001,59.14162,Østlandet
463,463 EP BEGBY,10.99089,59.2083,Østlandet
418,418 EP STRUSSHAMN,5.19456,60.40662,Vestlandet
469,469 EP BODØ,14.4238,67.27698,Nord-Norge
472,472 EP GRORUD,10.88261,59.95948,Østlandet
475,475 EP ÅGOTNES,5.00186,60.40344,Vestlandet
476,476 EP STRANDA,6.94808,62.30763,Vestlandet
477,477 EP JEVNAKER,10.35494,60.22947,Østlandet
473,473 EP ANDENES,16.09885,69.31011,Nord-Norge
425,425 EP RÅDE,10.83582,59.35817,Østlandet
